query_id,split,source,query_type,primary_intervention,expected_interventions,expected_pair_ids,expected_surrogates,story,query_text
query_acarbose_mechanism_prompt,train,templated,mechanism_prompt,Acarbose,Acarbose,acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides|CRP,Recommend biomarkers for a compound similar to Acarbose.,Acarbose-like drug with postprandial glucose modulation. Which surrogate biomarkers should I track in a short aging trial?
query_acarbose_biology_prompt,train,templated,biology_prompt,Acarbose,Acarbose,acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides|CRP,Biology-driven retrieval prompt for Acarbose.,"Need surrogate endpoints for a drug targeting glucose metabolism, insulin signaling and deregulated nutrient sensing, inflammaging."
query_acarbose_trial_prompt,train,templated,trial_prompt,Acarbose,Acarbose,acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp,HbA1c|fasting glucose|fasting insulin|HOMA-IR|triglycerides|CRP,Trial-design prompt for Acarbose.,"Short clinical trial for Acarbose. Prioritize biomarkers such as HbA1c, fasting glucose, fasting insulin or similar alternatives."
query_dasatinib_quercetin_mechanism_prompt,test,templated,mechanism_prompt,Dasatinib + Quercetin,Dasatinib + Quercetin,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,Recommend biomarkers for a compound similar to Dasatinib + Quercetin.,Dasatinib + Quercetin-like drug with senolytic combination targeting senescent cell survival pathways. Which surrogate biomarkers should I track in a short aging trial?
query_dasatinib_quercetin_biology_prompt,test,templated,biology_prompt,Dasatinib + Quercetin,Dasatinib + Quercetin,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,Biology-driven retrieval prompt for Dasatinib + Quercetin.,"Need surrogate endpoints for a drug targeting secretory phenotype, cell cycle arrest and cellular senescence, inflammaging."
query_dasatinib_quercetin_trial_prompt,test,templated,trial_prompt,Dasatinib + Quercetin,Dasatinib + Quercetin,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,Trial-design prompt for Dasatinib + Quercetin.,"Short clinical trial for Dasatinib + Quercetin. Prioritize biomarkers such as SASP panel, p16INK4a expression, IL6 or similar alternatives."
query_empagliflozin_mechanism_prompt,train,templated,mechanism_prompt,Empagliflozin,Empagliflozin,empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage|CRP,Recommend biomarkers for a compound similar to Empagliflozin.,Empagliflozin-like drug with SGLT2 inhibition and glucosuria-driven metabolic unloading. Which surrogate biomarkers should I track in a short aging trial?
query_empagliflozin_biology_prompt,train,templated,biology_prompt,Empagliflozin,Empagliflozin,empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage|CRP,Biology-driven retrieval prompt for Empagliflozin.,"Need surrogate endpoints for a drug targeting glucose metabolism, cardiac stress and deregulated nutrient sensing, altered intercellular communication."
query_empagliflozin_trial_prompt,train,templated,trial_prompt,Empagliflozin,Empagliflozin,empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting glucose|NT-proBNP|fasting insulin|body fat percentage|CRP,Trial-design prompt for Empagliflozin.,"Short clinical trial for Empagliflozin. Prioritize biomarkers such as HbA1c, fasting glucose, NT-proBNP or similar alternatives."
query_fisetin_mechanism_prompt,train,templated,mechanism_prompt,Fisetin,Fisetin,fisetin_sasp_panel|fisetin_p16ink4a_expression|fisetin_il6|fisetin_tnf_alpha|fisetin_gdf15,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15,Recommend biomarkers for a compound similar to Fisetin.,Fisetin-like drug with senolytic flavonoid with anti-inflammatory and stress-response effects. Which surrogate biomarkers should I track in a short aging trial?
query_fisetin_biology_prompt,train,templated,biology_prompt,Fisetin,Fisetin,fisetin_sasp_panel|fisetin_p16ink4a_expression|fisetin_il6|fisetin_tnf_alpha|fisetin_gdf15,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15,Biology-driven retrieval prompt for Fisetin.,"Need surrogate endpoints for a drug targeting secretory phenotype, cell cycle arrest and cellular senescence, inflammaging."
query_fisetin_trial_prompt,train,templated,trial_prompt,Fisetin,Fisetin,fisetin_sasp_panel|fisetin_p16ink4a_expression|fisetin_il6|fisetin_tnf_alpha|fisetin_gdf15,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15,Trial-design prompt for Fisetin.,"Short clinical trial for Fisetin. Prioritize biomarkers such as SASP panel, p16INK4a expression, IL6 or similar alternatives."
query_liraglutide_mechanism_prompt,train,templated,mechanism_prompt,Liraglutide,Liraglutide,liraglutide_hba1c|liraglutide_fasting_glucose|liraglutide_body_fat_percentage|liraglutide_fasting_insulin|liraglutide_triglycerides|liraglutide_crp,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|CRP,Recommend biomarkers for a compound similar to Liraglutide.,Liraglutide-like drug with GLP-1 receptor agonism and metabolic regulation. Which surrogate biomarkers should I track in a short aging trial?
query_liraglutide_biology_prompt,train,templated,biology_prompt,Liraglutide,Liraglutide,liraglutide_hba1c|liraglutide_fasting_glucose|liraglutide_body_fat_percentage|liraglutide_fasting_insulin|liraglutide_triglycerides|liraglutide_crp,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|CRP,Biology-driven retrieval prompt for Liraglutide.,"Need surrogate endpoints for a drug targeting glucose metabolism, energy balance and deregulated nutrient sensing, inflammaging."
query_liraglutide_trial_prompt,train,templated,trial_prompt,Liraglutide,Liraglutide,liraglutide_hba1c|liraglutide_fasting_glucose|liraglutide_body_fat_percentage|liraglutide_fasting_insulin|liraglutide_triglycerides|liraglutide_crp,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|CRP,Trial-design prompt for Liraglutide.,"Short clinical trial for Liraglutide. Prioritize biomarkers such as HbA1c, fasting glucose, body fat percentage or similar alternatives."
query_metformin_mechanism_prompt,train,templated,mechanism_prompt,Metformin,Metformin,metformin_hba1c|metformin_fasting_insulin|metformin_homa_ir|metformin_gdf15|metformin_crp|metformin_il6,HbA1c|fasting insulin|HOMA-IR|GDF15|CRP|IL6,Recommend biomarkers for a compound similar to Metformin.,Metformin-like drug with AMPK activation and glucose homeostasis. Which surrogate biomarkers should I track in a short aging trial?
query_metformin_biology_prompt,train,templated,biology_prompt,Metformin,Metformin,metformin_hba1c|metformin_fasting_insulin|metformin_homa_ir|metformin_gdf15|metformin_crp|metformin_il6,HbA1c|fasting insulin|HOMA-IR|GDF15|CRP|IL6,Biology-driven retrieval prompt for Metformin.,"Need surrogate endpoints for a drug targeting glucose metabolism, insulin signaling and deregulated nutrient sensing, cellular senescence."
query_metformin_trial_prompt,train,templated,trial_prompt,Metformin,Metformin,metformin_hba1c|metformin_fasting_insulin|metformin_homa_ir|metformin_gdf15|metformin_crp|metformin_il6,HbA1c|fasting insulin|HOMA-IR|GDF15|CRP|IL6,Trial-design prompt for Metformin.,"Short clinical trial for Metformin. Prioritize biomarkers such as HbA1c, fasting insulin, HOMA-IR or similar alternatives."
query_nmn_mechanism_prompt,val,templated,mechanism_prompt,NMN,NMN,nmn_nad_nadh_ratio|nmn_atp_production|nmn_mtdna_copy_number|nmn_epigenetic_clock|nmn_fasting_insulin|nmn_crp,NAD+ NADH ratio|ATP production|mtDNA copy number|epigenetic clock|fasting insulin|CRP,Recommend biomarkers for a compound similar to NMN.,NMN-like drug with NAD+ precursor supporting redox balance and metabolic resilience. Which surrogate biomarkers should I track in a short aging trial?
query_nmn_biology_prompt,val,templated,biology_prompt,NMN,NMN,nmn_nad_nadh_ratio|nmn_atp_production|nmn_mtdna_copy_number|nmn_epigenetic_clock|nmn_fasting_insulin|nmn_crp,NAD+ NADH ratio|ATP production|mtDNA copy number|epigenetic clock|fasting insulin|CRP,Biology-driven retrieval prompt for NMN.,"Need surrogate endpoints for a drug targeting redox balance, bioenergetics and mitochondrial dysfunction, genomic instability."
query_nmn_trial_prompt,val,templated,trial_prompt,NMN,NMN,nmn_nad_nadh_ratio|nmn_atp_production|nmn_mtdna_copy_number|nmn_epigenetic_clock|nmn_fasting_insulin|nmn_crp,NAD+ NADH ratio|ATP production|mtDNA copy number|epigenetic clock|fasting insulin|CRP,Trial-design prompt for NMN.,"Short clinical trial for NMN. Prioritize biomarkers such as NAD+ NADH ratio, ATP production, mtDNA copy number or similar alternatives."
query_nicotinamide_riboside_mechanism_prompt,train,templated,mechanism_prompt,Nicotinamide Riboside,Nicotinamide Riboside,nicotinamide_riboside_nad_nadh_ratio|nicotinamide_riboside_atp_production|nicotinamide_riboside_mtdna_copy_number|nicotinamide_riboside_fasting_insulin|nicotinamide_riboside_crp|nicotinamide_riboside_il6,NAD+ NADH ratio|ATP production|mtDNA copy number|fasting insulin|CRP|IL6,Recommend biomarkers for a compound similar to Nicotinamide Riboside.,Nicotinamide Riboside-like drug with NAD+ precursor supporting mitochondrial energetics. Which surrogate biomarkers should I track in a short aging trial?
query_nicotinamide_riboside_biology_prompt,train,templated,biology_prompt,Nicotinamide Riboside,Nicotinamide Riboside,nicotinamide_riboside_nad_nadh_ratio|nicotinamide_riboside_atp_production|nicotinamide_riboside_mtdna_copy_number|nicotinamide_riboside_fasting_insulin|nicotinamide_riboside_crp|nicotinamide_riboside_il6,NAD+ NADH ratio|ATP production|mtDNA copy number|fasting insulin|CRP|IL6,Biology-driven retrieval prompt for Nicotinamide Riboside.,"Need surrogate endpoints for a drug targeting redox balance, bioenergetics and mitochondrial dysfunction, deregulated nutrient sensing."
query_nicotinamide_riboside_trial_prompt,train,templated,trial_prompt,Nicotinamide Riboside,Nicotinamide Riboside,nicotinamide_riboside_nad_nadh_ratio|nicotinamide_riboside_atp_production|nicotinamide_riboside_mtdna_copy_number|nicotinamide_riboside_fasting_insulin|nicotinamide_riboside_crp|nicotinamide_riboside_il6,NAD+ NADH ratio|ATP production|mtDNA copy number|fasting insulin|CRP|IL6,Trial-design prompt for Nicotinamide Riboside.,"Short clinical trial for Nicotinamide Riboside. Prioritize biomarkers such as NAD+ NADH ratio, ATP production, mtDNA copy number or similar alternatives."
query_rapamycin_mechanism_prompt,val,templated,mechanism_prompt,Rapamycin,Rapamycin,rapamycin_il6|rapamycin_crp|rapamycin_epigenetic_clock|rapamycin_igf_1|rapamycin_fasting_insulin|rapamycin_gdf15,IL6|CRP|epigenetic clock|IGF-1|fasting insulin|GDF15,Recommend biomarkers for a compound similar to Rapamycin.,Rapamycin-like drug with mTOR inhibition and autophagy. Which surrogate biomarkers should I track in a short aging trial?
query_rapamycin_biology_prompt,val,templated,biology_prompt,Rapamycin,Rapamycin,rapamycin_il6|rapamycin_crp|rapamycin_epigenetic_clock|rapamycin_igf_1|rapamycin_fasting_insulin|rapamycin_gdf15,IL6|CRP|epigenetic clock|IGF-1|fasting insulin|GDF15,Biology-driven retrieval prompt for Rapamycin.,"Need surrogate endpoints for a drug targeting cytokine signaling, inflammation signaling and inflammaging, genomic instability."
query_rapamycin_trial_prompt,val,templated,trial_prompt,Rapamycin,Rapamycin,rapamycin_il6|rapamycin_crp|rapamycin_epigenetic_clock|rapamycin_igf_1|rapamycin_fasting_insulin|rapamycin_gdf15,IL6|CRP|epigenetic clock|IGF-1|fasting insulin|GDF15,Trial-design prompt for Rapamycin.,"Short clinical trial for Rapamycin. Prioritize biomarkers such as IL6, CRP, epigenetic clock or similar alternatives."
query_resveratrol_mechanism_prompt,train,templated,mechanism_prompt,Resveratrol,Resveratrol,resveratrol_crp|resveratrol_il6|resveratrol_homa_ir|resveratrol_tnf_alpha|resveratrol_fasting_glucose|resveratrol_triglycerides,CRP|IL6|HOMA-IR|TNF-alpha|fasting glucose|triglycerides,Recommend biomarkers for a compound similar to Resveratrol.,Resveratrol-like drug with stress-response signaling and metabolic modulation. Which surrogate biomarkers should I track in a short aging trial?
query_resveratrol_biology_prompt,train,templated,biology_prompt,Resveratrol,Resveratrol,resveratrol_crp|resveratrol_il6|resveratrol_homa_ir|resveratrol_tnf_alpha|resveratrol_fasting_glucose|resveratrol_triglycerides,CRP|IL6|HOMA-IR|TNF-alpha|fasting glucose|triglycerides,Biology-driven retrieval prompt for Resveratrol.,"Need surrogate endpoints for a drug targeting inflammation signaling, cytokine signaling and inflammaging, deregulated nutrient sensing."
query_resveratrol_trial_prompt,train,templated,trial_prompt,Resveratrol,Resveratrol,resveratrol_crp|resveratrol_il6|resveratrol_homa_ir|resveratrol_tnf_alpha|resveratrol_fasting_glucose|resveratrol_triglycerides,CRP|IL6|HOMA-IR|TNF-alpha|fasting glucose|triglycerides,Trial-design prompt for Resveratrol.,"Short clinical trial for Resveratrol. Prioritize biomarkers such as CRP, IL6, HOMA-IR or similar alternatives."
query_semaglutide_mechanism_prompt,test,templated,mechanism_prompt,Semaglutide,Semaglutide,semaglutide_hba1c|semaglutide_fasting_glucose|semaglutide_body_fat_percentage|semaglutide_fasting_insulin|semaglutide_triglycerides|semaglutide_ldl_c,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|LDL-C,Recommend biomarkers for a compound similar to Semaglutide.,Semaglutide-like drug with GLP-1 receptor agonism and satiety signaling. Which surrogate biomarkers should I track in a short aging trial?
query_semaglutide_biology_prompt,test,templated,biology_prompt,Semaglutide,Semaglutide,semaglutide_hba1c|semaglutide_fasting_glucose|semaglutide_body_fat_percentage|semaglutide_fasting_insulin|semaglutide_triglycerides|semaglutide_ldl_c,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|LDL-C,Biology-driven retrieval prompt for Semaglutide.,"Need surrogate endpoints for a drug targeting glucose metabolism, energy balance and deregulated nutrient sensing."
query_semaglutide_trial_prompt,test,templated,trial_prompt,Semaglutide,Semaglutide,semaglutide_hba1c|semaglutide_fasting_glucose|semaglutide_body_fat_percentage|semaglutide_fasting_insulin|semaglutide_triglycerides|semaglutide_ldl_c,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|LDL-C,Trial-design prompt for Semaglutide.,"Short clinical trial for Semaglutide. Prioritize biomarkers such as HbA1c, fasting glucose, body fat percentage or similar alternatives."
query_spermidine_mechanism_prompt,train,templated,mechanism_prompt,Spermidine,Spermidine,spermidine_epigenetic_clock|spermidine_crp|spermidine_il6|spermidine_mtdna_copy_number|spermidine_gdf15,epigenetic clock|CRP|IL6|mtDNA copy number|GDF15,Recommend biomarkers for a compound similar to Spermidine.,Spermidine-like drug with autophagy induction and cellular maintenance. Which surrogate biomarkers should I track in a short aging trial?
query_spermidine_biology_prompt,train,templated,biology_prompt,Spermidine,Spermidine,spermidine_epigenetic_clock|spermidine_crp|spermidine_il6|spermidine_mtdna_copy_number|spermidine_gdf15,epigenetic clock|CRP|IL6|mtDNA copy number|GDF15,Biology-driven retrieval prompt for Spermidine.,"Need surrogate endpoints for a drug targeting aging clocks, inflammation signaling and genomic instability, inflammaging."
query_spermidine_trial_prompt,train,templated,trial_prompt,Spermidine,Spermidine,spermidine_epigenetic_clock|spermidine_crp|spermidine_il6|spermidine_mtdna_copy_number|spermidine_gdf15,epigenetic clock|CRP|IL6|mtDNA copy number|GDF15,Trial-design prompt for Spermidine.,"Short clinical trial for Spermidine. Prioritize biomarkers such as epigenetic clock, CRP, IL6 or similar alternatives."
demo_query_1,train,demo,demo_prompt,Metformin,Metformin|Acarbose|Empagliflozin,metformin_hba1c|metformin_fasting_insulin|metformin_homa_ir|metformin_gdf15|metformin_crp|metformin_il6|acarbose_hba1c|acarbose_fasting_glucose|acarbose_fasting_insulin|acarbose_homa_ir|acarbose_triglycerides|acarbose_crp|empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting insulin|HOMA-IR|GDF15|CRP|IL6|fasting glucose|triglycerides|NT-proBNP|body fat percentage,Metabolic control plus reduced inflammaging,Metformin-like AMPK activating compound for a short aging trial
demo_query_2,val,demo,demo_prompt,Rapamycin,Rapamycin|Spermidine|Metformin,rapamycin_il6|rapamycin_crp|rapamycin_epigenetic_clock|rapamycin_igf_1|rapamycin_fasting_insulin|rapamycin_gdf15|spermidine_epigenetic_clock|spermidine_crp|spermidine_il6|spermidine_mtdna_copy_number|spermidine_gdf15|metformin_hba1c|metformin_fasting_insulin|metformin_homa_ir|metformin_gdf15|metformin_crp|metformin_il6,IL6|CRP|epigenetic clock|IGF-1|fasting insulin|GDF15|mtDNA copy number|HbA1c|HOMA-IR,Nutrient sensing and inflammation-focused aging trial,mTOR inhibitor improving autophagy and nutrient sensing
demo_query_3,test,demo,demo_prompt,Semaglutide,Semaglutide|Liraglutide|Empagliflozin,semaglutide_hba1c|semaglutide_fasting_glucose|semaglutide_body_fat_percentage|semaglutide_fasting_insulin|semaglutide_triglycerides|semaglutide_ldl_c|liraglutide_hba1c|liraglutide_fasting_glucose|liraglutide_body_fat_percentage|liraglutide_fasting_insulin|liraglutide_triglycerides|liraglutide_crp|empagliflozin_hba1c|empagliflozin_fasting_glucose|empagliflozin_nt_probnp|empagliflozin_fasting_insulin|empagliflozin_body_fat_percentage|empagliflozin_crp,HbA1c|fasting glucose|body fat percentage|fasting insulin|triglycerides|LDL-C|CRP|NT-proBNP,Short clinical trial with strong metabolic readouts,GLP-1-like anti-obesity molecule with cardiometabolic benefit
demo_query_4,test,demo,demo_prompt,Dasatinib + Quercetin,Dasatinib + Quercetin|Fisetin,dasatinib_quercetin_sasp_panel|dasatinib_quercetin_p16ink4a_expression|dasatinib_quercetin_il6|dasatinib_quercetin_tnf_alpha|dasatinib_quercetin_gdf15|dasatinib_quercetin_crp|fisetin_sasp_panel|fisetin_p16ink4a_expression|fisetin_il6|fisetin_tnf_alpha|fisetin_gdf15,SASP panel|p16INK4a expression|IL6|TNF-alpha|GDF15|CRP,Senescence burden and inflammatory secretome tracking,Small-molecule senolytic clearing senescent cells
demo_query_5,train,demo,demo_prompt,Nicotinamide Riboside,Nicotinamide Riboside|NMN,nicotinamide_riboside_nad_nadh_ratio|nicotinamide_riboside_atp_production|nicotinamide_riboside_mtdna_copy_number|nicotinamide_riboside_fasting_insulin|nicotinamide_riboside_crp|nicotinamide_riboside_il6|nmn_nad_nadh_ratio|nmn_atp_production|nmn_mtdna_copy_number|nmn_epigenetic_clock|nmn_fasting_insulin|nmn_crp,NAD+ NADH ratio|ATP production|mtDNA copy number|fasting insulin|CRP|IL6|epigenetic clock,Mitochondrial energetics and redox-balance monitoring,NAD-boosting precursor for mitochondrial function and healthy aging
demo_query_6,train,demo,demo_prompt,Resveratrol,Resveratrol|Fisetin|Spermidine,resveratrol_crp|resveratrol_il6|resveratrol_homa_ir|resveratrol_tnf_alpha|resveratrol_fasting_glucose|resveratrol_triglycerides|fisetin_sasp_panel|fisetin_p16ink4a_expression|fisetin_il6|fisetin_tnf_alpha|fisetin_gdf15|spermidine_epigenetic_clock|spermidine_crp|spermidine_il6|spermidine_mtdna_copy_number|spermidine_gdf15,CRP|IL6|HOMA-IR|TNF-alpha|fasting glucose|triglycerides|SASP panel|p16INK4a expression|GDF15|epigenetic clock|mtDNA copy number,Inflammation and metabolic resilience,Polyphenol-like stress response modulator for inflammaging
