doc_id,doc_type,title,text,split,source_id,ranking_weight
intervention:acarbose,intervention,Acarbose,"Drug intervention: Acarbose. Mechanism: postprandial glucose modulation. Top surrogate biomarkers: HbA1c, fasting glucose, fasting insulin, HOMA-IR, triglycerides. Biomarker categories: metabolic, inflammation. Pathways: glucose metabolism, insulin signaling, lipid metabolism, inflammation signaling. Aging hallmarks: deregulated nutrient sensing, inflammaging. Similar interventions: Metformin, Semaglutide, Empagliflozin.",train,acarbose,1.0
intervention:dasatinib_quercetin,intervention,Dasatinib + Quercetin,"Drug intervention: Dasatinib + Quercetin. Mechanism: senolytic combination targeting senescent cell survival pathways. Top surrogate biomarkers: SASP panel, p16INK4a expression, IL6, TNF-alpha, GDF15. Biomarker categories: senescence, inflammation, stress response. Pathways: secretory phenotype, cell cycle arrest, cytokine signaling, integrated stress response. Aging hallmarks: cellular senescence, inflammaging. Similar interventions: Fisetin, Rapamycin, Spermidine.",test,dasatinib_quercetin,1.0
intervention:empagliflozin,intervention,Empagliflozin,"Drug intervention: Empagliflozin. Mechanism: SGLT2 inhibition and glucosuria-driven metabolic unloading. Top surrogate biomarkers: HbA1c, fasting glucose, NT-proBNP, fasting insulin, body fat percentage. Biomarker categories: metabolic, cardiovascular, body composition, inflammation. Pathways: glucose metabolism, cardiac stress, insulin signaling, energy balance. Aging hallmarks: deregulated nutrient sensing, altered intercellular communication, inflammaging. Similar interventions: Metformin, Semaglutide, Acarbose.",train,empagliflozin,1.0
intervention:fisetin,intervention,Fisetin,"Drug intervention: Fisetin. Mechanism: senolytic flavonoid with anti-inflammatory and stress-response effects. Top surrogate biomarkers: SASP panel, p16INK4a expression, IL6, TNF-alpha, GDF15. Biomarker categories: senescence, inflammation, stress response. Pathways: secretory phenotype, cell cycle arrest, cytokine signaling, integrated stress response. Aging hallmarks: cellular senescence, inflammaging. Similar interventions: Dasatinib + Quercetin, Resveratrol, Spermidine.",train,fisetin,1.0
intervention:liraglutide,intervention,Liraglutide,"Drug intervention: Liraglutide. Mechanism: GLP-1 receptor agonism and metabolic regulation. Top surrogate biomarkers: HbA1c, fasting glucose, body fat percentage, fasting insulin, triglycerides. Biomarker categories: metabolic, body composition, inflammation. Pathways: glucose metabolism, energy balance, insulin signaling, lipid metabolism. Aging hallmarks: deregulated nutrient sensing, inflammaging. Similar interventions: Semaglutide, Metformin, Empagliflozin.",train,liraglutide,1.0
intervention:metformin,intervention,Metformin,"Drug intervention: Metformin. Mechanism: AMPK activation and glucose homeostasis. Top surrogate biomarkers: HbA1c, fasting insulin, HOMA-IR, GDF15, CRP. Biomarker categories: metabolic, stress response, inflammation. Pathways: glucose metabolism, insulin signaling, integrated stress response, inflammation signaling. Aging hallmarks: deregulated nutrient sensing, cellular senescence, inflammaging. Similar interventions: Acarbose, Semaglutide, Empagliflozin.",train,metformin,1.0
intervention:nmn,intervention,NMN,"Drug intervention: NMN. Mechanism: NAD+ precursor supporting redox balance and metabolic resilience. Top surrogate biomarkers: NAD+ NADH ratio, ATP production, mtDNA copy number, epigenetic clock, fasting insulin. Biomarker categories: mitochondrial, epigenetic aging, metabolic, inflammation. Pathways: redox balance, bioenergetics, mitochondrial maintenance, aging clocks. Aging hallmarks: mitochondrial dysfunction, genomic instability, deregulated nutrient sensing, inflammaging. Similar interventions: Nicotinamide Riboside, Metformin, Spermidine.",val,nmn,1.0
intervention:nicotinamide_riboside,intervention,Nicotinamide Riboside,"Drug intervention: Nicotinamide Riboside. Mechanism: NAD+ precursor supporting mitochondrial energetics. Top surrogate biomarkers: NAD+ NADH ratio, ATP production, mtDNA copy number, fasting insulin, CRP. Biomarker categories: mitochondrial, metabolic, inflammation. Pathways: redox balance, bioenergetics, mitochondrial maintenance, insulin signaling. Aging hallmarks: mitochondrial dysfunction, deregulated nutrient sensing, inflammaging. Similar interventions: NMN, Metformin, Spermidine.",train,nicotinamide_riboside,1.0
intervention:rapamycin,intervention,Rapamycin,"Drug intervention: Rapamycin. Mechanism: mTOR inhibition and autophagy. Top surrogate biomarkers: IL6, CRP, epigenetic clock, IGF-1, fasting insulin. Biomarker categories: inflammation, epigenetic aging, growth signaling, metabolic. Pathways: cytokine signaling, inflammation signaling, aging clocks, insulin IGF signaling. Aging hallmarks: inflammaging, genomic instability, deregulated nutrient sensing, cellular senescence. Similar interventions: Spermidine, Metformin, NMN.",val,rapamycin,1.0
intervention:resveratrol,intervention,Resveratrol,"Drug intervention: Resveratrol. Mechanism: stress-response signaling and metabolic modulation. Top surrogate biomarkers: CRP, IL6, HOMA-IR, TNF-alpha, fasting glucose. Biomarker categories: inflammation, metabolic. Pathways: inflammation signaling, cytokine signaling, insulin signaling, glucose metabolism. Aging hallmarks: inflammaging, deregulated nutrient sensing. Similar interventions: Fisetin, Metformin, Spermidine.",train,resveratrol,1.0
intervention:semaglutide,intervention,Semaglutide,"Drug intervention: Semaglutide. Mechanism: GLP-1 receptor agonism and satiety signaling. Top surrogate biomarkers: HbA1c, fasting glucose, body fat percentage, fasting insulin, triglycerides. Biomarker categories: metabolic, body composition. Pathways: glucose metabolism, energy balance, insulin signaling, lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Similar interventions: Liraglutide, Metformin, Empagliflozin.",test,semaglutide,1.0
intervention:spermidine,intervention,Spermidine,"Drug intervention: Spermidine. Mechanism: autophagy induction and cellular maintenance. Top surrogate biomarkers: epigenetic clock, CRP, IL6, mtDNA copy number, GDF15. Biomarker categories: epigenetic aging, inflammation, mitochondrial, stress response. Pathways: aging clocks, inflammation signaling, cytokine signaling, mitochondrial maintenance. Aging hallmarks: genomic instability, inflammaging, mitochondrial dysfunction, cellular senescence. Similar interventions: Rapamycin, NMN, Resveratrol.",train,spermidine,1.0
surrogate:atp_production,surrogate,ATP production,"Surrogate biomarker: ATP production. Category: mitochondrial. Pathways: bioenergetics. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",shared,atp_production,0.795
surrogate:crp,surrogate,CRP,"Surrogate biomarker: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose.",shared,crp,0.706
surrogate:gdf15,surrogate,GDF15,"Surrogate biomarker: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Observed across interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine.",shared,gdf15,0.712
surrogate:homa_ir,surrogate,HOMA-IR,"Surrogate biomarker: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Acarbose, Resveratrol.",shared,homa_ir,0.777
surrogate:hba1c,surrogate,HbA1c,"Surrogate biomarker: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose.",shared,hba1c,0.88
surrogate:igf_1,surrogate,IGF-1,Surrogate biomarker: IGF-1. Category: growth signaling. Pathways: insulin IGF signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Rapamycin.,shared,igf_1,0.74
surrogate:il6,surrogate,IL6,"Surrogate biomarker: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside.",shared,il6,0.734
surrogate:ldl_c,surrogate,LDL-C,Surrogate biomarker: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide.,shared,ldl_c,0.73
surrogate:nad_nadh_ratio,surrogate,NAD+ NADH ratio,"Surrogate biomarker: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: Nicotinamide Riboside, NMN.",shared,nad_nadh_ratio,0.885
surrogate:nt_probnp,surrogate,NT-proBNP,Surrogate biomarker: NT-proBNP. Category: cardiovascular. Pathways: cardiac stress. Aging hallmarks: altered intercellular communication. Observed across interventions: Empagliflozin.,shared,nt_probnp,0.8
surrogate:sasp_panel,surrogate,SASP panel,"Surrogate biomarker: SASP panel. Category: senescence. Pathways: secretory phenotype. Aging hallmarks: cellular senescence. Observed across interventions: Dasatinib + Quercetin, Fisetin.",shared,sasp_panel,0.87
surrogate:tnf_alpha,surrogate,TNF-alpha,"Surrogate biomarker: TNF-alpha. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Observed across interventions: Dasatinib + Quercetin, Fisetin, Resveratrol.",shared,tnf_alpha,0.733
surrogate:body_fat_percentage,surrogate,body fat percentage,"Surrogate biomarker: body fat percentage. Category: body composition. Pathways: energy balance. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Empagliflozin.",shared,body_fat_percentage,0.8
surrogate:epigenetic_clock,surrogate,epigenetic clock,"Surrogate biomarker: epigenetic clock. Category: epigenetic aging. Pathways: aging clocks. Aging hallmarks: genomic instability. Observed across interventions: Rapamycin, Spermidine, NMN.",shared,epigenetic_clock,0.74
surrogate:fasting_glucose,surrogate,fasting glucose,"Surrogate biomarker: fasting glucose. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Empagliflozin, Resveratrol.",shared,fasting_glucose,0.814
surrogate:fasting_insulin,surrogate,fasting insulin,"Surrogate biomarker: fasting insulin. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Metformin, Semaglutide, Liraglutide, Acarbose, Empagliflozin, Rapamycin, NMN, Nicotinamide Riboside.",shared,fasting_insulin,0.764
surrogate:mtdna_copy_number,surrogate,mtDNA copy number,"Surrogate biomarker: mtDNA copy number. Category: mitochondrial. Pathways: mitochondrial maintenance. Aging hallmarks: mitochondrial dysfunction. Observed across interventions: NMN, Nicotinamide Riboside, Spermidine.",shared,mtdna_copy_number,0.72
surrogate:p16ink4a_expression,surrogate,p16INK4a expression,"Surrogate biomarker: p16INK4a expression. Category: senescence. Pathways: cell cycle arrest. Aging hallmarks: cellular senescence. Observed across interventions: Dasatinib + Quercetin, Fisetin.",shared,p16ink4a_expression,0.845
surrogate:triglycerides,surrogate,triglycerides,"Surrogate biomarker: triglycerides. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Observed across interventions: Semaglutide, Liraglutide, Acarbose, Resveratrol.",shared,triglycerides,0.735
biomarker_semantic:atp_production,biomarker_semantic,ATP production semantic profile,"Biomarker semantic profile: ATP production. Category: mitochondrial. Pathways: bioenergetics. Aging hallmarks: mitochondrial dysfunction. Mechanism-of-action contexts: NAD+ precursor supporting mitochondrial energetics, NAD+ precursor supporting redox balance and metabolic resilience. Mechanism themes: NAD+ restoration, mitochondrial bioenergetics. Linked drug interventions: Nicotinamide Riboside, NMN. Why informative: Functional mitochondrial-energy surrogate that strengthens the bioenergetics story. Supports the mitochondrial-performance narrative in a demo. Mean evidence score: 0.795. Mean surrogate confidence: 0.685. Mean literature support: 0.640.",shared,atp_production,0.795
biomarker_semantic:crp,biomarker_semantic,CRP semantic profile,"Biomarker semantic profile: CRP. Category: inflammation. Pathways: inflammation signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, GLP-1 receptor agonism and metabolic regulation, autophagy induction and cellular maintenance, SGLT2 inhibition and glucosuria-driven metabolic unloading. Mechanism themes: mTOR inhibition, autophagy induction, AMPK activation, glucose regulation, GLP-1 receptor agonism, SGLT2 inhibition. Linked drug interventions: Rapamycin, Metformin, Resveratrol, Liraglutide, Spermidine, Empagliflozin, Dasatinib + Quercetin, Acarbose. Why informative: Accessible systemic inflammation surrogate for rapamycin-like interventions. Captures the inflammatory spillover often improved when metabolic control improves. Straightforward inflammation surrogate for stress-response modulation. Mean evidence score: 0.706. Mean surrogate confidence: 0.605. Mean literature support: 0.617.",shared,crp,0.706
biomarker_semantic:gdf15,biomarker_semantic,GDF15 semantic profile,"Biomarker semantic profile: GDF15. Category: stress response. Pathways: integrated stress response. Aging hallmarks: cellular senescence. Mechanism-of-action contexts: AMPK activation and glucose homeostasis, senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, mTOR inhibition and autophagy, autophagy induction and cellular maintenance. Mechanism themes: AMPK activation, glucose regulation, senolytic activity, mTOR inhibition, autophagy induction. Linked drug interventions: Metformin, Dasatinib + Quercetin, Fisetin, Rapamycin, Spermidine. Why informative: Mechanistically relevant stress-response biomarker frequently discussed for metformin exposure and response. Stress and tissue-dysfunction marker useful for translational follow-up. Stress-response surrogate for systemic adaptation and tissue burden. Mean evidence score: 0.712. Mean surrogate confidence: 0.632. Mean literature support: 0.606.",shared,gdf15,0.712
biomarker_semantic:homa_ir,biomarker_semantic,HOMA-IR semantic profile,"Biomarker semantic profile: HOMA-IR. Category: metabolic. Pathways: insulin signaling. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: AMPK activation and glucose homeostasis, postprandial glucose modulation, stress-response signaling and metabolic modulation. Mechanism themes: AMPK activation, glucose regulation. Linked drug interventions: Metformin, Acarbose, Resveratrol. Why informative: Composite insulin-resistance surrogate aligned with metabolic flexibility claims. Useful summary surrogate when insulin resistance is part of the trial story. Summarizes insulin-resistance shifts in a single surrogate. Mean evidence score: 0.777. Mean surrogate confidence: 0.737. Mean literature support: 0.693.",shared,homa_ir,0.777
biomarker_semantic:hba1c,biomarker_semantic,HbA1c semantic profile,"Biomarker semantic profile: HbA1c. Category: metabolic. Pathways: glucose metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling, AMPK activation and glucose homeostasis, GLP-1 receptor agonism and metabolic regulation, SGLT2 inhibition and glucosuria-driven metabolic unloading, postprandial glucose modulation. Mechanism themes: GLP-1 receptor agonism, satiety signaling, AMPK activation, glucose regulation, SGLT2 inhibition. Linked drug interventions: Semaglutide, Metformin, Liraglutide, Empagliflozin, Acarbose. Why informative: High-confidence surrogate for metabolic response to GLP-1 receptor agonism. Strong medium-term metabolic surrogate that tracks glycemic response in metformin-like interventions. Reliable glycemic surrogate with strong translational familiarity. Mean evidence score: 0.880. Mean surrogate confidence: 0.860. Mean literature support: 0.828.",shared,hba1c,0.88
biomarker_semantic:igf_1,biomarker_semantic,IGF-1 semantic profile,"Biomarker semantic profile: IGF-1. Category: growth signaling. Pathways: insulin IGF signaling. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: mTOR inhibition and autophagy. Mechanism themes: mTOR inhibition, autophagy induction. Linked drug interventions: Rapamycin. Why informative: Nutrient-sensing related biomarker consistent with upstream pathway modulation. Mean evidence score: 0.740. Mean surrogate confidence: 0.680. Mean literature support: 0.660.",shared,igf_1,0.74
biomarker_semantic:il6,biomarker_semantic,IL6 semantic profile,"Biomarker semantic profile: IL6. Category: inflammation. Pathways: cytokine signaling. Aging hallmarks: inflammaging. Mechanism-of-action contexts: mTOR inhibition and autophagy, senolytic combination targeting senescent cell survival pathways, senolytic flavonoid with anti-inflammatory and stress-response effects, AMPK activation and glucose homeostasis, stress-response signaling and metabolic modulation, autophagy induction and cellular maintenance. Mechanism themes: mTOR inhibition, autophagy induction, senolytic activity, AMPK activation, glucose regulation. Linked drug interventions: Rapamycin, Dasatinib + Quercetin, Fisetin, Metformin, Resveratrol, Spermidine, Nicotinamide Riboside. Why informative: Inflammatory cytokine suited to tracking immunometabolic effects of mTOR inhibition. Inflammatory cytokine linked to SASP and inflammaging. Inflammaging-linked cytokine with strong demo interpretability. Mean evidence score: 0.734. Mean surrogate confidence: 0.637. Mean literature support: 0.650.",shared,il6,0.734
biomarker_semantic:ldl_c,biomarker_semantic,LDL-C semantic profile,"Biomarker semantic profile: LDL-C. Category: metabolic. Pathways: lipid metabolism. Aging hallmarks: deregulated nutrient sensing. Mechanism-of-action contexts: GLP-1 receptor agonism and satiety signaling. Mechanism themes: GLP-1 receptor agonism, satiety signaling. Linked drug interventions: Semaglutide. Why informative: Relevant when positioning semaglutide-like compounds in cardiometabolic aging. Mean evidence score: 0.730. Mean surrogate confidence: 0.630. Mean literature support: 0.670.",shared,ldl_c,0.73
biomarker_semantic:nad_nadh_ratio,biomarker_semantic,NAD+ NADH ratio semantic profile,"Biomarker semantic profile: NAD+ NADH ratio. Category: mitochondrial. Pathways: redox balance. Aging hallmarks: mitochondrial dysfunction. Mechanism-of-action contexts: NAD+ precursor supporting mitochondrial energetics, NAD+ precursor supporting redox balance and metabolic resilience. Mechanism themes: NAD+ restoration, mitochondrial bioenergetics. Linked drug interventions: Nicotinamide Riboside, NMN. Why informative: Closest mechanistic surrogate to the intended NAD-boosting effect. Primary surrogate for confirming on-target NAD restoration. Mean evidence score: 0.885. Mean surrogate confidence: 0.805. Mean literature support: 0.760.",shared,nad_nadh_ratio,0.885
biomarker_semantic:nt_probnp,biomarker_semantic,NT-proBNP semantic profile,Biomarker semantic profile: NT-proBNP. Category: cardiovascular. Pathways: cardiac stress. Aging hallmarks: altered intercellular communication. Mechanism-of-action contexts: SGLT2 inhibition and glucosuria-driven metabolic unloading. Mechanism themes: SGLT2 inhibition. Linked drug interventions: Empagliflozin. Why informative: Useful cardio-renal stress surrogate for interventions positioned around resilience and risk reduction. Mean evidence score: 0.800. Mean surrogate confidence: 0.730. Mean literature support: 0.710.,shared,nt_probnp,0.8
